0,5.14,17 
1,5.17,20 
2,5.97,12 
3,5.85,15 
4,5.55,10 
5,2.47,19 
6,2.94,16 
7,2.35,18 
8,2.28,17 
9,2.13,19 
10,2.77,18 
11,2.14,14 
12,2.79,20 
13,2.9,19 
14,2.01,20 
15,1.28,13 
16,1.3,10 
17,1.43,11 
18,1.07,17 
19,1.8,14 
20,1.21,10 
21,1.55,20 
22,1.31,19 
23,1.9,15 
24,1.65,20 
25,1.06,11 
26,1.91,17 
27,4.35,19 
28,4.57,16 
29,4.71,20 
30,4.78,17 
31,4.2,17 
32,4.42,19 
33,0.77,19 
34,0.36,11 
35,3.22,17 
36,3.88,19 
37,3.69,14 
38,3.25,18 
39,3.99,20 
40,3.81,18 
41,7.53,13 
42,7.22,20 
43,7.91,17 
44,7.67,17 
45,7.36,10 
46,7.88,12 
47,7.74,13 
48,7.7,16 
49,7.71,17 
50,7.48,10 
51,7.51,10 
52,7.04,13 
53,7.05,18 
54,7.1,20 
55,7.74,16 
56,7.43,13 
57,7.26,17 
58,7.8,10 
59,6.61,17 
60,6.67,12 
61,6.65,12 
62,6.41,11 
63,10.49,13 
64,10.47,20 
65,10.13,17 
66,8.57,10 
67,8.01,10 
68,8.52,11 
69,8.78,11 
70,8.21,10 
71,8.53,15 
72,8.73,10 
73,8.41,20 
74,8.1,10 
75,8.33,15 
76,8.06,17 
77,8.34,11 
78,8.43,17 
79,8.63,18 
80,8.83,15 
81,8.28,15 
82,8.95,20 
83,8.97,18 
84,8.69,13 
85,8.61,15 
86,8.12,20 
87,8.61,11 
88,8.43,19 
89,8.15,14 
90,8.24,17 
91,9.0,18 
92,9.69,14 
93,9.04,10 
94,9.23,13 
95,9.44,14 
96,10.0,13 
97,9.64,11 
98,9.44,17 
99,9.96,15 
